"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","140.89","140.54","140.90","139.45","2.86M","-0.12%"
"12/29/2022","141.06","140.58","142.26","140.45","2.34M","0.74%"
"12/28/2022","140.02","142.40","142.81","139.95","2.54M","-1.69%"
"12/27/2022","142.42","141.73","142.72","141.23","2.74M","0.54%"
"12/23/2022","141.65","140.59","141.86","139.60","2.09M","0.55%"
"12/22/2022","140.88","140.95","141.44","138.62","3.34M","-0.89%"
"12/21/2022","142.14","141.84","143.09","140.98","3.79M","0.61%"
"12/20/2022","141.28","138.84","141.43","138.34","5.16M","1.74%"
"12/19/2022","138.87","140.16","140.44","137.20","5.28M","-0.92%"
"12/16/2022","140.16","141.25","141.91","138.97","9.83M","-1.55%"
"12/15/2022","142.36","148.52","148.98","141.58","6.69M","-5.00%"
"12/14/2022","149.86","150.47","151.91","148.45","4.21M","-0.47%"
"12/13/2022","150.57","150.37","153.21","149.95","8.81M","0.91%"
"12/12/2022","149.21","147.82","149.21","146.94","4.03M","1.47%"
"12/09/2022","147.05","147.40","148.34","146.97","3.05M","-0.49%"
"12/08/2022","147.78","147.90","149.15","147.37","2.67M","0.35%"
"12/07/2022","147.27","147.33","148.10","146.29","3.97M","-0.16%"
"12/06/2022","147.50","147.30","147.80","146.70","2.85M","0.06%"
"12/05/2022","147.41","147.94","148.93","146.80","2.78M","-0.85%"
"12/02/2022","148.67","148.13","149.16","147.73","2.90M","-0.33%"
"12/01/2022","149.16","149.98","150.01","147.34","4.50M","0.17%"
"11/30/2022","148.90","146.19","149.64","145.67","6.38M","1.65%"
"11/29/2022","146.49","145.91","147.17","145.70","2.75M","0.21%"
"11/28/2022","146.18","147.98","148.24","145.93","3.54M","-1.48%"
"11/25/2022","148.37","148.27","149.49","148.10","2.08M","-0.26%"
"11/23/2022","148.75","149.10","150.46","148.30","3.66M","-0.23%"
"11/22/2022","149.10","147.60","149.35","147.02","7.06M","1.65%"
"11/21/2022","146.68","147.55","147.93","146.45","3.48M","-0.65%"
"11/18/2022","147.64","146.56","148.31","145.94","4.66M","1.06%"
"11/17/2022","146.09","143.41","146.18","143.25","3.96M","1.09%"
"11/16/2022","144.52","144.13","144.95","144.01","3.45M","0.12%"
"11/15/2022","144.34","144.08","146.16","142.00","4.73M","0.10%"
"11/14/2022","144.20","142.63","146.08","142.18","5.25M","0.72%"
"11/11/2022","143.17","141.50","144.13","140.96","5.87M","1.37%"
"11/10/2022","141.23","140.26","141.37","138.29","5.39M","2.79%"
"11/09/2022","137.39","137.95","138.90","136.94","4.72M","-1.89%"
"11/08/2022","140.04","139.00","140.93","138.72","5.04M","1.23%"
"11/07/2022","138.34","136.64","138.70","136.51","4.04M","1.01%"
"11/04/2022","136.96","135.65","137.73","134.94","4.18M","1.85%"
"11/03/2022","134.47","136.42","136.48","133.97","4.44M","-1.72%"
"11/02/2022","136.83","137.75","140.17","136.80","5.37M","-0.99%"
"11/01/2022","138.20","138.25","138.65","136.70","3.59M","-0.07%"
"10/31/2022","138.29","138.06","138.77","136.60","4.92M","-0.16%"
"10/28/2022","138.51","135.56","138.86","135.22","5.97M","2.78%"
"10/27/2022","134.77","135.55","136.40","134.45","3.99M","-0.18%"
"10/26/2022","135.01","133.72","135.86","132.81","5.14M","1.56%"
"10/25/2022","132.93","132.00","133.30","131.30","5.96M","0.18%"
"10/24/2022","132.69","130.90","133.11","129.85","5.61M","2.15%"
"10/21/2022","129.90","128.39","130.85","127.59","7.20M","1.25%"
"10/20/2022","128.30","126.25","128.96","125.15","13.62M","4.73%"
"10/19/2022","122.51","122.36","123.94","121.99","5.91M","-0.35%"
"10/18/2022","122.94","123.00","123.94","121.82","5.12M","1.17%"
"10/17/2022","121.52","121.80","122.88","121.43","5.46M","1.23%"
"10/14/2022","120.04","121.80","122.54","119.84","3.76M","-1.44%"
"10/13/2022","121.79","116.10","122.15","115.54","5.84M","3.59%"
"10/12/2022","117.57","118.00","118.81","117.20","3.34M","-0.20%"
"10/11/2022","117.80","117.46","119.23","116.94","4.04M","0.04%"
"10/10/2022","117.75","119.79","119.96","117.04","5.99M","-0.90%"
"10/07/2022","118.82","121.50","121.80","118.07","4.50M","-2.79%"
"10/06/2022","122.23","124.88","125.30","121.77","5.07M","-2.79%"
"10/05/2022","125.74","124.71","126.46","124.23","3.21M","0.19%"
"10/04/2022","125.50","122.80","125.65","122.52","4.57M","3.28%"
"10/03/2022","121.51","120.16","122.21","119.60","4.26M","2.27%"
"09/30/2022","118.81","121.66","122.43","118.61","5.35M","-2.32%"
"09/29/2022","121.63","121.85","122.62","120.57","3.82M","-0.92%"
"09/28/2022","122.76","121.65","123.23","119.81","5.00M","0.84%"
"09/27/2022","121.74","122.60","123.95","121.08","4.12M","-0.22%"
"09/26/2022","122.01","122.30","124.26","121.75","3.99M","-0.57%"
"09/23/2022","122.71","124.53","125.00","121.74","5.20M","-2.07%"
"09/22/2022","125.31","124.76","126.51","124.41","4.05M","0.30%"
"09/21/2022","124.93","126.89","127.84","124.92","3.39M","-1.08%"
"09/20/2022","126.30","126.90","126.99","125.52","2.84M","-1.12%"
"09/19/2022","127.73","126.49","128.06","126.28","3.98M","0.36%"
"09/16/2022","127.27","124.36","127.53","123.83","9.84M","1.42%"
"09/15/2022","125.49","127.39","127.46","124.90","5.14M","-1.72%"
"09/14/2022","127.69","127.50","129.00","126.85","3.82M","0.35%"
"09/13/2022","127.25","129.14","129.91","126.77","4.57M","-2.61%"
"09/12/2022","130.66","130.33","130.99","129.89","3.74M","1.14%"
"09/09/2022","129.19","128.90","129.49","128.06","3.29M","0.56%"
"09/08/2022","128.47","127.20","128.54","126.59","2.96M","0.60%"
"09/07/2022","127.71","126.69","127.87","126.28","2.40M","0.78%"
"09/06/2022","126.72","127.80","128.06","126.30","3.35M","-0.84%"
"09/02/2022","127.79","130.30","130.56","127.24","3.04M","-1.44%"
