"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2023","242.71","244.51","245.60","242.20","25.69M","-2.20%"
"01/27/2023","248.16","248.99","249.83","246.83","26.50M","0.06%"
"01/26/2023","248.00","243.65","248.31","242.00","33.16M","3.07%"
"01/25/2023","240.61","234.48","243.30","230.90","66.36M","-0.59%"
"01/24/2023","242.04","242.50","243.95","240.44","34.49M","-0.22%"
"01/23/2023","242.58","241.10","245.16","239.65","31.51M","0.98%"
"01/20/2023","240.22","234.85","240.74","234.51","35.39M","3.57%"
"01/19/2023","231.93","233.78","235.52","230.68","28.38M","-1.65%"
"01/18/2023","235.81","241.57","242.38","235.52","30.03M","-1.89%"
"01/17/2023","240.35","237.97","240.91","237.09","29.72M","0.47%"
"01/13/2023","239.23","237.00","239.37","234.92","21.33M","0.30%"
"01/12/2023","238.51","235.26","239.90","233.56","27.17M","1.16%"
"01/11/2023","235.77","231.29","235.95","231.11","28.39M","3.02%"
"01/10/2023","228.85","227.76","231.31","227.33","26.87M","0.76%"
"01/09/2023","227.12","226.45","231.24","226.41","27.04M","0.97%"
"01/06/2023","224.93","223.00","225.76","219.35","43.61M","1.18%"
"01/05/2023","222.31","227.20","227.55","221.76","39.23M","-2.96%"
"01/04/2023","229.10","232.27","232.87","225.96","50.28M","-4.37%"
"01/03/2023","239.58","243.08","245.75","237.40","25.68M","-0.10%"
